fecha_entrenamiento,modelo,target,mejor_algoritmo,metricas_test,n_train,n_test
2026-08-31 15:49:50,corte,metros_al_corte,GradientBoosting,"{""RegresionLineal"": {""MAE"": 17.066, ""RMSE"": 22.646, ""MAPE"": 54.12, ""R2"": 0.8131}, ""RandomForest"": {""MAE"": 8.853, ""RMSE"": 18.893, ""MAPE"": 38.93, ""R2"": 0.8699}, ""GradientBoosting"": {""MAE"": 10.149, ""RMSE"": 18.77, ""MAPE"": 41.86, ""R2"": 0.8716}, ""RedNeuronal"": {""MAE"": 9.484, ""RMSE"": 19.081, ""MAPE"": 40.6, ""R2"": 0.8673}}",9960,2322
2026-08-31 15:49:50,fin,metros_fin_turno,GradientBoosting,"{""RegresionLineal"": {""MAE"": 62.369, ""RMSE"": 78.652, ""MAPE"": 59.0, ""R2"": 0.2683}, ""RandomForest"": {""MAE"": 57.051, ""RMSE"": 76.919, ""MAPE"": 55.23, ""R2"": 0.3002}, ""GradientBoosting"": {""MAE"": 56.68, ""RMSE"": 74.01, ""MAPE"": 54.9, ""R2"": 0.3521}, ""RedNeuronal"": {""MAE"": 60.69, ""RMSE"": 79.442, ""MAPE"": 56.79, ""R2"": 0.2535}}",19920,4644
2026-08-31 16:36:19,corte,metros_al_corte,GradientBoosting,"{""RegresionLineal"": {""MAE"": 17.066, ""RMSE"": 22.646, ""MAPE"": 54.12, ""R2"": 0.8131}, ""RandomForest"": {""MAE"": 8.853, ""RMSE"": 18.893, ""MAPE"": 38.93, ""R2"": 0.8699}, ""GradientBoosting"": {""MAE"": 10.149, ""RMSE"": 18.77, ""MAPE"": 41.86, ""R2"": 0.8716}, ""RedNeuronal"": {""MAE"": 9.484, ""RMSE"": 19.081, ""MAPE"": 40.6, ""R2"": 0.8673}}",9960,2322
2026-08-31 16:36:19,fin,metros_fin_turno,GradientBoosting,"{""RegresionLineal"": {""MAE"": 62.369, ""RMSE"": 78.652, ""MAPE"": 59.0, ""R2"": 0.2683}, ""RandomForest"": {""MAE"": 57.051, ""RMSE"": 76.919, ""MAPE"": 55.23, ""R2"": 0.3002}, ""GradientBoosting"": {""MAE"": 56.68, ""RMSE"": 74.01, ""MAPE"": 54.9, ""R2"": 0.3521}, ""RedNeuronal"": {""MAE"": 60.69, ""RMSE"": 79.442, ""MAPE"": 56.79, ""R2"": 0.2535}}",19920,4644
